Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-01,Chicago Blackhawks,Blackhawks,Capitals,1.083,19.59,14.98,56.65,3.75,1.01,78.78,7.8,2.01,79.55
2013-10-01,Edmonton Oilers,Oilers,Jets,0.884,21.2,24.27,46.62,1.89,4.14,31.32,5.73,13.41,29.95
2013-10-01,Montreal Canadiens,Canadiens,Maple Leafs,0.962,20.78,16.79,55.32,1.89,2.09,47.58,12.48,4.32,74.31
2013-10-02,Colorado Avalanche,Avalanche,Ducks,1.093,16.61,19.64,45.82,2.94,1.0,74.51,5.1,7.96,39.02
2013-10-02,Philadelphia Flyers,Flyers,Maple Leafs,0.903,19.18,14.58,56.8,0.0,2.07,0.00,7.32,5.14,58.76
2013-10-02,Detroit Red Wings,Red Wings,Sabres,0.971,19.22,8.71,68.81,1.93,1.01,65.57,4.89,2.98,62.13
2013-10-03,San Jose Sharks,Sharks,Canucks,1.182,17.92,17.18,51.06,3.84,0.0,100.00,10.32,8.55,54.69
2013-10-03,Pittsburgh Penguins,Penguins,Devils,1.134,21.35,29.28,42.18,2.92,0.0,100.00,3.95,9.85,28.65
2013-10-03,Washington Capitals,Capitals,Flames,1.002,30.13,28.49,51.4,1.87,2.11,47.02,6.1,15.54,28.2
2013-10-03,Minnesota Wild,Wild,Kings,0.955,14.64,11.95,55.08,0.94,1.01,48.26,5.8,4.01,59.1
2013-10-03,Boston Bruins,Bruins,Lightning,1.001,15.01,18.99,44.15,0.94,1.01,48.26,5.95,8.06,42.48
2013-10-03,Dallas Stars,Stars,Panthers,0.93,25.47,19.89,56.15,0.92,3.12,22.82,2.75,13.69,16.74
2013-10-03,St Louis Blues,Blues,Predators,0.998,19.62,22.33,46.77,1.97,2.02,49.45,5.04,8.89,36.2
2013-10-03,Arizona Coyotes,Coyotes,Rangers,1.103,16.07,16.83,48.84,1.89,0.0,100.00,5.73,5.01,53.35
2013-10-04,Columbus Blue Jackets,Blue Jackets,Flames,0.883,23.04,18.05,56.07,1.87,4.25,30.63,10.88,6.5,62.61
2013-10-04,New Jersey Devils,Devils,Islanders,0.968,20.98,14.58,59.0,2.81,3.08,47.72,14.1,6.33,69.03
2013-10-04,Winnipeg Jets,Jets,Kings,1.087,19.63,22.65,46.43,2.85,1.06,72.98,11.8,9.37,55.73
2013-10-04,Colorado Avalanche,Avalanche,Predators,1.005,22.74,16.34,58.19,1.93,1.01,65.57,11.84,4.12,74.18
2013-10-04,Carolina Hurricanes,Hurricanes,Red Wings,1.006,25.08,24.12,50.97,0.94,1.01,48.19,12.87,8.08,61.41
2013-10-04,Buffalo Sabres,Sabres,Senators,0.969,17.13,26.21,39.52,0.0,1.06,0.00,10.28,7.46,57.96
2013-10-05,New York Islanders,Islanders,Blue Jackets,0.996,23.44,25.49,47.9,0.99,1.01,49.43,11.62,9.23,55.73
2013-10-05,Dallas Stars,Stars,Capitals,1.095,23.36,18.5,55.8,1.87,0.0,100.00,8.55,6.39,57.22
2013-10-05,San Jose Sharks,Sharks,Coyotes,0.968,33.57,8.63,79.55,0.94,1.0,48.44,12.22,2.01,85.9
2013-10-05,Minnesota Wild,Wild,Ducks,0.924,26.64,13.09,67.05,0.92,2.13,30.22,13.27,7.77,63.07
2013-10-05,Montreal Canadiens,Canadiens,Flyers,1.098,16.27,8.06,66.87,1.93,0.0,100.00,8.97,3.07,74.49
2013-10-05,Chicago Blackhawks,Blackhawks,Lightning,0.944,27.78,11.06,71.53,0.94,1.01,48.19,12.67,4.18,75.18
2013-10-05,Vancouver Canucks,Canucks,Oilers,1.09,23.19,10.78,68.27,1.93,0.0,100.00,8.77,2.13,80.46
2013-10-05,St Louis Blues,Blues,Panthers,1.206,22.62,16.96,57.15,4.96,0.0,100.00,5.04,6.2,44.81
2013-10-05,Boston Bruins,Bruins,Red Wings,1.018,22.28,15.65,58.75,1.93,1.01,65.64,8.03,3.98,66.86
2013-10-05,Pittsburgh Penguins,Penguins,Sabres,0.999,31.76,13.48,70.2,1.93,1.0,65.80,17.05,3.95,81.2
2013-10-05,Toronto Maple Leafs,Maple Leafs,Senators,0.941,20.52,21.0,49.42,1.87,4.2,30.77,7.37,3.2,69.76
2013-10-06,Calgary Flames,Flames,Canucks,0.947,25.72,30.16,46.03,2.86,4.14,40.83,11.39,14.72,43.61
2013-10-06,Winnipeg Jets,Jets,Ducks,0.991,16.39,27.83,37.06,0.94,2.02,31.81,6.61,12.53,34.52
2013-10-06,Carolina Hurricanes,Hurricanes,Flyers,1.004,15.7,13.15,54.42,1.89,1.01,65.11,7.85,4.07,65.84
2013-10-07,Edmonton Oilers,Oilers,Devils,1.102,19.57,21.39,47.78,2.82,2.11,57.24,5.41,3.47,60.9
2013-10-07,Los Angeles Kings,Kings,Rangers,0.91,11.81,23.04,33.89,0.0,2.13,0.00,5.37,10.03,34.89
2013-10-08,Toronto Maple Leafs,Maple Leafs,Avalanche,0.973,20.59,23.02,47.22,0.94,2.07,31.33,5.56,6.44,46.31
2013-10-08,New York Islanders,Islanders,Coyotes,1.134,22.8,30.67,42.64,3.92,1.0,79.61,12.11,10.79,52.89
2013-10-08,Vancouver Canucks,Canucks,Devils,0.981,16.96,17.99,48.52,1.87,2.13,46.78,5.56,10.81,33.96
2013-10-08,Pittsburgh Penguins,Penguins,Hurricanes,0.975,19.83,11.81,62.67,1.93,2.03,48.82,7.85,7.97,49.64
2013-10-08,Buffalo Sabres,Sabres,Lightning,0.963,16.28,19.71,45.24,0.0,1.01,0.00,5.67,13.72,29.24
2013-10-08,Philadelphia Flyers,Flyers,Panthers,1.065,13.12,21.74,37.64,1.93,1.01,65.57,3.97,8.09,32.91
2013-10-08,San Jose Sharks,Sharks,Rangers,1.066,36.98,16.16,69.59,5.91,1.0,85.47,21.27,11.74,64.43
2013-10-08,Nashville Predators,Predators,Wild,1.0,9.17,12.84,41.66,0.0,0.0,0,3.02,5.05,37.43
2013-10-09,St Louis Blues,Blues,Blackhawks,1.062,20.04,16.77,54.43,1.89,0.0,100.00,5.61,7.46,42.93
2013-10-09,Calgary Flames,Flames,Canadiens,1.042,15.27,22.69,40.23,1.93,1.01,65.57,5.9,11.95,33.06
2013-10-09,Los Angeles Kings,Kings,Senators,0.909,19.27,9.8,66.3,0.94,2.02,31.89,4.05,3.97,50.49
2013-10-10,Boston Bruins,Bruins,Avalanche,1.0,25.4,23.86,51.56,0.0,0.0,0,7.17,9.9,42.0
2013-10-10,Buffalo Sabres,Sabres,Blue Jackets,0.892,16.65,24.45,40.5,0.92,4.24,17.90,7.04,6.51,51.95
2013-10-10,Edmonton Oilers,Oilers,Canadiens,0.902,21.12,29.11,42.05,0.0,2.13,0.00,5.35,11.91,30.98
2013-10-10,Detroit Red Wings,Red Wings,Coyotes,0.992,16.84,25.4,39.87,1.87,3.12,37.41,5.45,7.38,42.48
2013-10-10,Washington Capitals,Capitals,Hurricanes,1.009,18.22,25.35,41.82,1.89,2.07,47.71,4.75,7.44,38.96
2013-10-10,Minnesota Wild,Wild,Jets,1.078,20.57,6.08,77.19,1.89,0.0,100.00,8.73,2.07,80.84
2013-10-10,Nashville Predators,Predators,Maple Leafs,0.905,14.34,16.28,46.84,0.0,2.13,0.00,2.69,5.43,33.1
2013-10-10,Tampa Bay Lightning,Lightning,Panthers,1.125,21.33,9.82,68.47,3.91,1.0,79.58,6.96,2.03,77.4
2013-10-10,Anaheim Ducks,Ducks,Rangers,1.213,20.84,20.75,50.1,5.91,0.0,100.00,8.04,11.62,40.89
2013-10-10,Vancouver Canucks,Canucks,Sharks,0.946,10.7,24.32,30.54,0.95,3.21,22.86,2.67,9.95,21.17
2013-10-11,Philadelphia Flyers,Flyers,Coyotes,1.003,18.96,25.08,43.06,0.92,1.06,46.65,8.05,4.47,64.3
2013-10-11,Calgary Flames,Flames,Devils,0.935,14.22,14.79,49.01,0.94,2.11,30.87,5.56,6.44,46.31
2013-10-11,Chicago Blackhawks,Blackhawks,Islanders,0.988,26.58,15.0,63.93,2.88,2.03,58.67,14.49,7.13,67.02
2013-10-11,Carolina Hurricanes,Hurricanes,Kings,1.0,15.23,18.87,44.65,0.0,0.0,0,8.41,9.59,46.74
2013-10-11,Florida Panthers,Panthers,Penguins,1.082,18.84,22.86,45.18,3.86,3.04,55.97,7.88,10.11,43.81
2013-10-11,Winnipeg Jets,Jets,Stars,0.921,19.56,21.35,47.82,0.0,2.13,0.00,9.09,12.57,41.97
2013-10-12,Washington Capitals,Capitals,Avalanche,0.882,29.63,16.81,63.8,0.92,3.22,22.19,13.91,5.67,71.05
2013-10-12,Columbus Blue Jackets,Blue Jackets,Bruins,0.928,21.8,19.88,52.3,0.0,2.07,0.00,6.64,9.45,41.25
2013-10-12,Vancouver Canucks,Canucks,Canadiens,1.006,21.46,26.62,44.64,0.92,1.05,46.83,8.81,15.59,36.1
2013-10-12,Detroit Red Wings,Red Wings,Flyers,0.987,8.99,19.0,32.11,0.99,2.03,32.76,2.93,9.12,24.31
2013-10-12,Nashville Predators,Predators,Islanders,0.916,21.03,8.23,71.87,1.87,2.07,47.45,7.56,2.07,78.52
2013-10-12,Toronto Maple Leafs,Maple Leafs,Oilers,0.992,11.02,24.57,30.97,2.77,4.23,39.61,4.52,11.93,27.48
2013-10-12,Tampa Bay Lightning,Lightning,Penguins,1.066,11.74,20.6,36.29,1.89,2.02,48.26,2.93,4.2,41.1
2013-10-12,St Louis Blues,Blues,Rangers,1.001,17.92,14.89,54.61,1.93,1.01,65.57,4.88,6.96,41.18
