"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2017-10-04 - Blues 5, Penguins 4","St Louis Blues","Limited ReportFull Report","46.366666666667","67.34","68.66","49.52","53.01","51.21","50.87","37.26","33.93","52.34","2.7","3.61","42.79","3.2","3.1","50.77","35.04","30.97","53.08","15.44","11.66","56.98","12.44","4.74","72.40","1.31","0","100.00","10.50","100.00","19.92","19.19","50.93","10.89","8.63","55.79","1.34","0","100.00","12.35","100.00","29.67","32.97","47.37","14.27","16.77","45.98","0","3.53","0.00","0.00","78.97","7.25","89.35","0.966","18652"
"2017-10-04 - Flames 0, Oilers 3","Calgary Flames","Limited ReportFull Report","52.95","57.58","82.74","41.04","41.07","65.91","38.39","26.56","47.46","35.89","0","2.19","0.00","2.06","3.94","34.36","22.91","32.65","41.24","10.51","20.03","34.41","8.08","15.69","33.99","0","2.19","0.00","0.00","86.05","12.25","12.61","49.27","4.54","5.62","44.68","0","0","-","0.00","100.00","22.27","42.42","34.43","9.42","26.52","26.20","0","0","-","0.00","100.00","0.00","95.39","0.954","18347"
"2017-10-04 - Flyers 5, Sharks 3","Philadelphia Flyers","Limited ReportFull Report","46.266666666667","62.19","57.29","52.05","42.58","44.66","48.81","27.33","30.43","47.32","1.37","1.23","52.62","2.82","2.73","50.86","37.76","21.53","63.68","15.63","10.54","59.74","7.17","4.73","60.24","0","1.2","0.00","0.00","74.52","22.27","10.9","67.14","10.78","4.95","68.54","1.36","0","100.00","12.65","100.00","20.46","32.26","38.81","9.38","20.7","31.18","0","0","-","0.00","100.00","5.01","95.95","1.010","17562"
"2017-10-04 - Maple Leafs 7, Jets 2","Toronto Maple Leafs","Limited ReportFull Report","39.133333333333","64.55","50.23","56.24","41.31","32.55","55.93","29.23","24.32","54.59","8.24","2.81","74.55","2.36","2.07","53.35","34.61","21.23","61.99","12.2","10.43","53.92","10.39","10.4","49.97","3.35","2.78","54.61","32.24","73.23","22.66","10.57","68.20","9.95","4.33","69.69","3.19","0","100.00","32.05","100.00","22.33","21.27","51.21","7.26","7.96","47.69","1.71","0","100.00","23.58","100.00","28.19","88.44","1.166","15321"
"2017-10-05 - Avalanche 4, Rangers 2","Colorado Avalanche","Limited ReportFull Report","41.083333333333","48.73","52.3","48.24","37.55","37.23","50.21","26.42","25.52","50.87","3.09","0","100.00","2.69","2.3","53.83","29.71","30.14","49.64","15.88","13.01","54.98","10.95","7.83","58.31","1.55","0","100.00","14.12","100.00","13.96","16.71","45.52","6.07","8.16","42.66","1.54","0","100.00","25.30","100.00","14.44","17.24","45.59","8.12","8.06","50.18","0","0","-","0.00","100.00","11.68","100.00","1.117","18006"
"2017-10-05 - Canadiens 3, Sabres 2","Montreal Canadiens","Limited ReportFull Report","43.283333333333","53.3","58.71","47.58","41.25","53.86","43.37","35.66","44.04","44.74","1.4","1.31","51.74","2.27","2.57","46.89","24.05","23.23","50.86","14.07","8.29","62.92","12.45","6.99","64.05","0","0","-","0.00","100.00","9.96","15.13","39.70","4.24","8.19","34.13","0","0","-","0.00","100.00","24.19","35.19","40.74","17.39","29.6","37.01","1.3","1.31","49.79","7.48","95.57","3.93","97.03","1.010","19070"
"2017-10-05 - Capitals 5, Senators 4","Washington Capitals","Limited ReportFull Report","50","58.35","46.85","55.47","38.3","34.57","52.56","23.68","26.26","47.42","4.86","4.58","51.46","1.97","1.6","55.11","30.68","21.06","59.29","8.72","5.76","60.24","4.91","2.35","67.66","0","1.19","0.00","0.00","49.36","21.66","15.48","58.32","8.45","10.61","44.33","5.04","2.28","68.88","59.59","78.56","21.48","25.39","45.82","8.19","13.34","38.03","0","1.14","0.00","0.00","91.49","20.51","82.55","1.031","17009"
"2017-10-05 - Coyotes 4, Ducks 5","Arizona Coyotes","Limited ReportFull Report","45.116666666667","61.19","55.8","52.30","41.86","47.88","46.65","28.8","37.48","43.45","2.84","6.23","31.27","2.37","2.43","49.37","36.4","32.12","53.12","11.75","10.47","52.88","8.81","9.31","48.60","2.85","2.43","53.97","32.33","73.93","24.99","21.26","54.03","12.77","12.39","50.76","0","3.99","0.00","0.00","67.75","20.3","21.45","48.61","5.74","14.34","28.59","0","0","-","0.00","100.00","9.85","83.37","0.932","17174"
"2017-10-05 - Flyers 0, Kings 2","Philadelphia Flyers","Limited ReportFull Report","40.083333333333","60.17","58.49","50.71","50.52","46.22","52.22","35.52","28.4","55.57","0","2.89","0.00","3.06","2.69","53.21","37.89","31.97","54.23","13.79","15.77","46.66","12.06","10.19","54.19","0","2.89","0.00","0.00","71.64","23.82","16.25","59.45","7.54","10.25","42.39","0","0","-","0.00","100.00","18.86","21.12","47.17","12.98","7.79","62.50","0","0","-","0.00","100.00","0.00","89.82","0.898","18230"
"2017-10-05 - Penguins 1, Blackhawks 10","Pittsburgh Penguins","Limited ReportFull Report","46.533333333333","49.83","92.08","35.11","36.69","62.73","36.90","28.5","55.63","33.88","0","12.75","0.00","1.77","3.96","30.94","19.33","37.62","33.94","9.97","15.95","38.46","8.58","16.18","34.67","0","6.32","0.00","0.00","60.94","9.24","21.92","29.66","6.06","13.32","31.25","0","5.07","0.00","0.00","61.96","26.76","47.46","36.06","12.61","24.93","33.60","0","1.37","0.00","0.00","94.51","0.00","77.08","0.771","21705"
