"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2021-01-13 - Blackhawks 1, Lightning 5","Chicago Blackhawks","Limited ReportFull Report","45.583333333333","30.32","37.17","44.92","21.5","29.03","42.55","17.82","23.51","43.11","0","2.97","0.00","1.03","1.88","35.29","18.48","25.28","42.22","1.93","7.2","21.16","1.9","7.3","20.67","0","1.97","0.00","0.00","73.06","16.09","18.55","46.44","11.69","9.45","55.31","0","0.98","0.00","0.00","89.66","6.95","9.51","42.23","4.29","6.36","40.31","0","0","-","0.00","100.00","0.00","87.37","0.874","0"
"2021-01-13 - Blues 4, Avalanche 1","St Louis Blues","Limited ReportFull Report","50.683333333333","46.78","39.52","54.21","34.47","23.59","59.37","28.97","19.1","60.27","4.19","0","100.00","2.09","1.02","67.14","23.96","9.7","71.17","6.64","5.24","55.89","5.56","3.47","61.52","2.13","0","100.00","38.32","100.00","17.45","4.32","80.16","10.64","4.57","69.96","2.1","0","100.00","19.72","100.00","19.4","26.32","42.43","11.59","11.08","51.12","0","0","-","0.00","100.00","14.47","100.00","1.145","0"
"2021-01-13 - Canadiens 4, Maple Leafs 5","Montreal Canadiens","Limited ReportFull Report","48.6","50.47","47.93","51.29","35.13","30.63","53.42","23.29","18.73","55.42","2.11","1.85","53.35","1.92","1.62","54.35","27.02","27.68","49.39","9.91","5.32","65.07","5.47","3.51","60.90","1.06","0.92","53.56","19.36","73.84","17.21","22.39","43.46","7.36","8.61","46.06","1.05","0","100.00","14.30","100.00","19.23","18.34","51.18","8.42","6.64","55.92","0","0.89","0.00","0.00","86.61","9.07","90.14","0.992","0"
"2021-01-13 - Canucks 5, Oilers 3","Vancouver Canucks","Limited ReportFull Report","47.583333333333","56.65","34.89","61.89","40.46","26.66","60.28","32.83","23.27","58.52","5.32","2.8","65.54","2.71","1.89","58.91","28.04","20.3","58.01","11.87","10.81","52.34","9.6","8.18","54.00","2.12","0.92","69.75","22.04","88.78","16.42","9.4","63.59","10.61","6.67","61.40","3.13","0.96","76.52","29.50","85.60","23.45","13.71","63.10","12.65","8.25","60.53","0","0.88","0.00","0.00","89.29","16.21","87.97","1.042","0"
"2021-01-13 - Penguins 3, Flyers 6","Pittsburgh Penguins","Limited ReportFull Report","51.933333333333","47.95","37.46","56.14","37.07","29.37","55.79","29.99","21.57","58.16","2.07","3.86","34.88","1.6","1.88","45.85","19.09","17.59","52.05","7.15","9.56","42.79","5.95","7.71","43.56","1.06","3.84","21.62","17.78","50.25","11.8","8.03","59.50","6.91","1.94","78.05","1.06","0","100.00","15.32","100.00","23.31","15.5","60.06","15.21","9.84","60.72","0","0","-","0.00","100.00","6.90","82.10","0.890","0"
"2021-01-14 - Blue Jackets 1, Predators 3","Columbus Blue Jackets","Limited ReportFull Report","49.05","52.06","50.71","50.66","31.9","37.15","46.20","26.41","25.78","50.61","1.06","1.87","36.13","1.36","1.34","50.21","16.24","16.89","49.01","5.38","5.52","49.37","5.33","4.67","53.28","1.06","0","100.00","19.86","100.00","11.01","11.39","49.16","5.32","5.7","48.26","0","1.91","0.00","0.00","66.51","26.43","30.76","46.21","13.79","14.46","48.82","0","0","-","0.00","100.00","4.00","92.76","0.968","0"
"2021-01-14 - Bruins 3, Devils 2","Boston Bruins","Limited ReportFull Report","43.366666666667","42.93","29.15","59.56","31","23.82","56.55","24.42","12.96","65.33","0","1.85","0.00","2.14","1.3","62.23","22.81","14.49","61.15","13.25","8.88","59.87","8.79","5.38","62.03","0","0.92","0.00","0.00","82.93","9.73","5.46","64.06","5.23","0.97","84.33","0","0","-","0.00","100.00","16.89","12.91","56.68","9.39","4.58","67.20","0","0.89","0.00","0.00","80.59","0.00","85.75","0.857","0"
"2021-01-14 - Canucks 2, Oilers 5","Vancouver Canucks","Limited ReportFull Report","44.55","57.92","51.74","52.82","38.75","44.8","46.38","28.4","37.51","43.09","2.03","2.96","40.64","2.38","3.21","42.62","28.75","24.49","54.00","11.06","12.89","46.18","4.91","11.1","30.65","1.04","2.94","26.02","21.11","73.48","17.37","11.76","59.63","6.98","9.25","42.99","1.02","0","100.00","14.66","100.00","27.29","23.29","53.96","14.13","15.93","47.01","0","0","-","0.00","100.00","7.14","92.10","0.992","0"
"2021-01-14 - Capitals 6, Sabres 4","Washington Capitals","Limited ReportFull Report","51.316666666667","36.71","30.11","54.94","29.68","22.78","56.57","22.82","16.79","57.62","4.26","1.87","69.50","1.03","1.11","48.18","14.39","14.08","50.55","3.3","5.97","35.59","2.17","5.07","29.95","2.14","0.91","70.22","98.76","82.09","11.24","7.95","58.59","6.44","3.75","63.18","1.04","0","100.00","16.15","100.00","21.06","16.25","56.44","14.26","7.75","64.79","1.12","0.88","55.82","7.83","88.60","18.65","88.87","1.075","0"
"2021-01-14 - Ducks 2, Golden Knights 5","Anaheim Ducks","Limited ReportFull Report","53.483333333333","43.97","42.73","50.72","26.16","31.16","45.64","18","26.3","40.63","2.03","3.86","34.39","1.44","1.95","42.39","18.35","23.74","43.61","6.11","12.54","32.77","5.06","11.68","30.24","2.05","3.86","34.63","40.39","66.94","12.13","11.29","51.79","7.15","6.02","54.30","0","0","-","0.00","100.00","15.73","16.18","49.30","3.82","8.36","31.35","0","0","-","0.00","100.00","11.26","85.30","0.966","0"
