Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-01,Washington Capitals,Blackhawks,Capitals,0.917,14.98,19.59,43.35,1.01,3.75,21.22,2.01,7.8,20.45
2013-10-01,Winnipeg Jets,Oilers,Jets,1.116,24.27,21.2,53.38,4.14,1.89,68.68,13.41,5.73,70.05
2013-10-01,Toronto Maple Leafs,Canadiens,Maple Leafs,1.038,16.79,20.78,44.68,2.09,1.89,52.42,4.32,12.48,25.69
2013-10-02,Anaheim Ducks,Avalanche,Ducks,0.907,19.64,16.61,54.18,1.0,2.94,25.49,7.96,5.1,60.98
2013-10-02,Toronto Maple Leafs,Flyers,Maple Leafs,1.097,14.58,19.18,43.2,2.07,0.0,100.00,5.14,7.32,41.24
2013-10-02,Buffalo Sabres,Red Wings,Sabres,1.029,8.71,19.22,31.19,1.01,1.93,34.43,2.98,4.89,37.87
2013-10-03,Vancouver Canucks,Sharks,Canucks,0.818,17.18,17.92,48.94,0.0,3.84,0.00,8.55,10.32,45.31
2013-10-03,New Jersey Devils,Penguins,Devils,0.866,29.28,21.35,57.82,0.0,2.92,0.00,9.85,3.95,71.35
2013-10-03,Calgary Flames,Capitals,Flames,0.998,28.49,30.13,48.6,2.11,1.87,52.98,15.54,6.1,71.8
2013-10-03,Los Angeles Kings,Wild,Kings,1.045,11.95,14.64,44.92,1.01,0.94,51.74,4.01,5.8,40.9
2013-10-03,Tampa Bay Lightning,Bruins,Lightning,0.999,18.99,15.01,55.85,1.01,0.94,51.74,8.06,5.95,57.52
2013-10-03,Florida Panthers,Stars,Panthers,1.07,19.89,25.47,43.85,3.12,0.92,77.18,13.69,2.75,83.26
2013-10-03,Nashville Predators,Blues,Predators,1.002,22.33,19.62,53.23,2.02,1.97,50.55,8.89,5.04,63.8
2013-10-03,New York Rangers,Coyotes,Rangers,0.897,16.83,16.07,51.16,0.0,1.89,0.00,5.01,5.73,46.65
2013-10-04,Calgary Flames,Blue Jackets,Flames,1.117,18.05,23.04,43.93,4.25,1.87,69.37,6.5,10.88,37.39
2013-10-04,New York Islanders,Devils,Islanders,1.032,14.58,20.98,41.0,3.08,2.81,52.28,6.33,14.1,30.97
2013-10-04,Los Angeles Kings,Jets,Kings,0.913,22.65,19.63,53.57,1.06,2.85,27.02,9.37,11.8,44.27
2013-10-04,Nashville Predators,Avalanche,Predators,0.995,16.34,22.74,41.81,1.01,1.93,34.43,4.12,11.84,25.82
2013-10-04,Detroit Red Wings,Hurricanes,Red Wings,0.994,24.12,25.08,49.03,1.01,0.94,51.81,8.08,12.87,38.59
2013-10-04,Ottawa Senators,Sabres,Senators,1.031,26.21,17.13,60.48,1.06,0.0,100.00,7.46,10.28,42.04
2013-10-05,Columbus Blue Jackets,Islanders,Blue Jackets,1.004,25.49,23.44,52.1,1.01,0.99,50.57,9.23,11.62,44.27
2013-10-05,Washington Capitals,Stars,Capitals,0.905,18.5,23.36,44.2,0.0,1.87,0.00,6.39,8.55,42.78
2013-10-05,Arizona Coyotes,Sharks,Coyotes,1.032,8.63,33.57,20.45,1.0,0.94,51.56,2.01,12.22,14.1
2013-10-05,Anaheim Ducks,Wild,Ducks,1.076,13.09,26.64,32.95,2.13,0.92,69.78,7.77,13.27,36.93
2013-10-05,Philadelphia Flyers,Canadiens,Flyers,0.902,8.06,16.27,33.13,0.0,1.93,0.00,3.07,8.97,25.51
2013-10-05,Tampa Bay Lightning,Blackhawks,Lightning,1.056,11.06,27.78,28.47,1.01,0.94,51.81,4.18,12.67,24.82
2013-10-05,Edmonton Oilers,Canucks,Oilers,0.91,10.78,23.19,31.73,0.0,1.93,0.00,2.13,8.77,19.54
2013-10-05,Florida Panthers,Blues,Panthers,0.794,16.96,22.62,42.85,0.0,4.96,0.00,6.2,5.04,55.19
2013-10-05,Detroit Red Wings,Bruins,Red Wings,0.982,15.65,22.28,41.25,1.01,1.93,34.36,3.98,8.03,33.14
2013-10-05,Buffalo Sabres,Penguins,Sabres,1.001,13.48,31.76,29.8,1.0,1.93,34.20,3.95,17.05,18.8
2013-10-05,Ottawa Senators,Maple Leafs,Senators,1.059,21.0,20.52,50.58,4.2,1.87,69.23,3.2,7.37,30.24
2013-10-06,Vancouver Canucks,Flames,Canucks,1.053,30.16,25.72,53.97,4.14,2.86,59.17,14.72,11.39,56.39
