"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2017-10-04 - Blues 5, Penguins 4","Pittsburgh Penguins","Limited ReportFull Report","46.366666666667","68.66","67.34","50.48","51.21","53.01","49.13","33.93","37.26","47.66","3.61","2.7","57.21","3.1","3.2","49.23","30.97","35.04","46.92","11.66","15.44","43.02","4.74","12.44","27.60","0","1.31","0.00","0.00","89.50","19.19","19.92","49.07","8.63","10.89","44.21","0","1.34","0.00","0.00","87.65","32.97","29.67","52.63","16.77","14.27","54.02","3.53","0","100.00","21.03","100.00","10.65","92.75","1.034","18652"
"2017-10-04 - Flames 0, Oilers 3","Edmonton Oilers","Limited ReportFull Report","52.95","82.74","57.58","58.96","65.91","41.07","61.61","47.46","26.56","64.11","2.19","0","100.00","3.94","2.06","65.64","32.65","22.91","58.76","20.03","10.51","65.59","15.69","8.08","66.01","2.19","0","100.00","13.95","100.00","12.61","12.25","50.73","5.62","4.54","55.32","0","0","-","0.00","100.00","42.42","22.27","65.57","26.52","9.42","73.80","0","0","-","0.00","100.00","4.61","100.00","1.046","18347"
"2017-10-04 - Flyers 5, Sharks 3","San Jose Sharks","Limited ReportFull Report","46.266666666667","57.29","62.19","47.95","44.66","42.58","51.19","30.43","27.33","52.68","1.23","1.37","47.38","2.73","2.82","49.14","21.53","37.76","36.32","10.54","15.63","40.26","4.73","7.17","39.76","1.2","0","100.00","25.48","100.00","10.9","22.27","32.86","4.95","10.78","31.46","0","1.36","0.00","0.00","87.35","32.26","20.46","61.19","20.7","9.38","68.82","0","0","-","0.00","100.00","4.05","94.99","0.990","17562"
"2017-10-04 - Maple Leafs 7, Jets 2","Winnipeg Jets","Limited ReportFull Report","39.133333333333","50.23","64.55","43.76","32.55","41.31","44.07","24.32","29.23","45.41","2.81","8.24","25.45","2.07","2.36","46.65","21.23","34.61","38.01","10.43","12.2","46.08","10.4","10.39","50.03","2.78","3.35","45.39","26.77","67.76","10.57","22.66","31.80","4.33","9.95","30.31","0","3.19","0.00","0.00","67.95","21.27","22.33","48.79","7.96","7.26","52.31","0","1.71","0.00","0.00","76.42","11.56","71.81","0.834","15321"
"2017-10-05 - Avalanche 4, Rangers 2","New York Rangers","Limited ReportFull Report","41.083333333333","52.3","48.73","51.76","37.23","37.55","49.79","25.52","26.42","49.13","0","3.09","0.00","2.3","2.69","46.17","30.14","29.71","50.36","13.01","15.88","45.02","7.83","10.95","41.69","0","1.55","0.00","0.00","85.88","16.71","13.96","54.48","8.16","6.07","57.34","0","1.54","0.00","0.00","74.70","17.24","14.44","54.41","8.06","8.12","49.82","0","0","-","0.00","100.00","0.00","88.32","0.883","18006"
"2017-10-05 - Canadiens 3, Sabres 2","Buffalo Sabres","Limited ReportFull Report","43.283333333333","58.71","53.3","52.42","53.86","41.25","56.63","44.04","35.66","55.26","1.31","1.4","48.26","2.57","2.27","53.11","23.23","24.05","49.14","8.29","14.07","37.08","6.99","12.45","35.95","0","0","-","0.00","100.00","15.13","9.96","60.30","8.19","4.24","65.87","0","0","-","0.00","100.00","35.19","24.19","59.26","29.6","17.39","62.99","1.31","1.3","50.21","4.43","92.52","2.97","96.07","0.990","19070"
"2017-10-05 - Capitals 5, Senators 4","Ottawa Senators","Limited ReportFull Report","50","46.85","58.35","44.53","34.57","38.3","47.44","26.26","23.68","52.58","4.58","4.86","48.54","1.6","1.97","44.89","21.06","30.68","40.71","5.76","8.72","39.76","2.35","4.91","32.34","1.19","0","100.00","50.64","100.00","15.48","21.66","41.68","10.61","8.45","55.67","2.28","5.04","31.12","21.44","40.41","25.39","21.48","54.18","13.34","8.19","61.97","1.14","0","100.00","8.51","100.00","17.45","79.49","0.969","17009"
"2017-10-05 - Coyotes 4, Ducks 5","Anaheim Ducks","Limited ReportFull Report","45.116666666667","55.8","61.19","47.70","47.88","41.86","53.35","37.48","28.8","56.55","6.23","2.84","68.73","2.43","2.37","50.63","32.12","36.4","46.88","10.47","11.75","47.12","9.31","8.81","51.40","2.43","2.85","46.03","26.07","67.67","21.26","24.99","45.97","12.39","12.77","49.24","3.99","0","100.00","32.25","100.00","21.45","20.3","51.39","14.34","5.74","71.41","0","0","-","0.00","100.00","16.63","90.15","1.068","17174"
"2017-10-05 - Flyers 0, Kings 2","Los Angeles Kings","Limited ReportFull Report","40.083333333333","58.49","60.17","49.29","46.22","50.52","47.78","28.4","35.52","44.43","2.89","0","100.00","2.69","3.06","46.79","31.97","37.89","45.77","15.77","13.79","53.34","10.19","12.06","45.81","2.89","0","100.00","28.36","100.00","16.25","23.82","40.55","10.25","7.54","57.61","0","0","-","0.00","100.00","21.12","18.86","52.83","7.79","12.98","37.50","0","0","-","0.00","100.00","10.18","100.00","1.102","18230"
"2017-10-05 - Penguins 1, Blackhawks 10","Chicago Blackhawks","Limited ReportFull Report","46.533333333333","92.08","49.83","64.89","62.73","36.69","63.10","55.63","28.5","66.12","12.75","0","100.00","3.96","1.77","69.06","37.62","19.33","66.06","15.95","9.97","61.54","16.18","8.58","65.33","6.32","0","100.00","39.06","100.00","21.92","9.24","70.34","13.32","6.06","68.75","5.07","0","100.00","38.04","100.00","47.46","26.76","63.94","24.93","12.61","66.40","1.37","0","100.00","5.49","100.00","22.92","100.00","1.229","21705"
