"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2021-01-13 - Blackhawks 1, Lightning 5","Tampa Bay Lightning","Limited ReportFull Report","45.583333333333","37.17","30.32","55.08","29.03","21.5","57.45","23.51","17.82","56.89","2.97","0","100.00","1.88","1.03","64.71","25.28","18.48","57.78","7.2","1.93","78.84","7.3","1.9","79.33","1.97","0","100.00","26.94","100.00","18.55","16.09","53.56","9.45","11.69","44.69","0.98","0","100.00","10.34","100.00","9.51","6.95","57.77","6.36","4.29","59.69","0","0","-","0.00","100.00","12.63","100.00","1.126","0"
"2021-01-13 - Blues 4, Avalanche 1","Colorado Avalanche","Limited ReportFull Report","50.683333333333","39.52","46.78","45.79","23.59","34.47","40.63","19.1","28.97","39.73","0","4.19","0.00","1.02","2.09","32.86","9.7","23.96","28.83","5.24","6.64","44.11","3.47","5.56","38.48","0","2.13","0.00","0.00","61.68","4.32","17.45","19.84","4.57","10.64","30.04","0","2.1","0.00","0.00","80.28","26.32","19.4","57.57","11.08","11.59","48.88","0","0","-","0.00","100.00","0.00","85.53","0.855","0"
"2021-01-13 - Canadiens 4, Maple Leafs 5","Toronto Maple Leafs","Limited ReportFull Report","48.6","47.93","50.47","48.71","30.63","35.13","46.58","18.73","23.29","44.58","1.85","2.11","46.65","1.62","1.92","45.65","27.68","27.02","50.61","5.32","9.91","34.93","3.51","5.47","39.10","0.92","1.06","46.44","26.16","80.64","22.39","17.21","56.54","8.61","7.36","53.94","0","1.05","0.00","0.00","85.70","18.34","19.23","48.82","6.64","8.42","44.08","0.89","0","100.00","13.39","100.00","9.86","90.93","1.008","0"
"2021-01-13 - Canucks 5, Oilers 3","Edmonton Oilers","Limited ReportFull Report","47.583333333333","34.89","56.65","38.11","26.66","40.46","39.72","23.27","32.83","41.48","2.8","5.32","34.46","1.89","2.71","41.09","20.3","28.04","41.99","10.81","11.87","47.66","8.18","9.6","46.00","0.92","2.12","30.25","11.22","77.96","9.4","16.42","36.41","6.67","10.61","38.60","0.96","3.13","23.48","14.40","70.50","13.71","23.45","36.90","8.25","12.65","39.47","0.88","0","100.00","10.71","100.00","12.03","83.79","0.958","0"
"2021-01-13 - Penguins 3, Flyers 6","Philadelphia Flyers","Limited ReportFull Report","51.933333333333","37.46","47.95","43.86","29.37","37.07","44.21","21.57","29.99","41.84","3.86","2.07","65.12","1.88","1.6","54.15","17.59","19.09","47.95","9.56","7.15","57.21","7.71","5.95","56.44","3.84","1.06","78.38","49.75","82.22","8.03","11.8","40.50","1.94","6.91","21.95","0","1.06","0.00","0.00","84.68","15.5","23.31","39.94","9.84","15.21","39.28","0","0","-","0.00","100.00","17.90","93.10","1.110","0"
"2021-01-14 - Blue Jackets 1, Predators 3","Nashville Predators","Limited ReportFull Report","49.05","50.71","52.06","49.34","37.15","31.9","53.80","25.78","26.41","49.39","1.87","1.06","63.87","1.34","1.36","49.79","16.89","16.24","50.99","5.52","5.38","50.63","4.67","5.33","46.72","0","1.06","0.00","0.00","80.14","11.39","11.01","50.84","5.7","5.32","51.74","1.91","0","100.00","33.49","100.00","30.76","26.43","53.79","14.46","13.79","51.18","0","0","-","0.00","100.00","7.24","96.00","1.032","0"
"2021-01-14 - Bruins 3, Devils 2","New Jersey Devils","Limited ReportFull Report","43.366666666667","29.15","42.93","40.44","23.82","31","43.45","12.96","24.42","34.67","1.85","0","100.00","1.3","2.14","37.77","14.49","22.81","38.85","8.88","13.25","40.13","5.38","8.79","37.97","0.92","0","100.00","17.07","100.00","5.46","9.73","35.94","0.97","5.23","15.67","0","0","-","0.00","100.00","12.91","16.89","43.32","4.58","9.39","32.80","0.89","0","100.00","19.41","100.00","14.25","100.00","1.143","0"
"2021-01-14 - Canucks 2, Oilers 5","Edmonton Oilers","Limited ReportFull Report","44.55","51.74","57.92","47.18","44.8","38.75","53.62","37.51","28.4","56.91","2.96","2.03","59.36","3.21","2.38","57.38","24.49","28.75","46.00","12.89","11.06","53.82","11.1","4.91","69.35","2.94","1.04","73.98","26.52","78.89","11.76","17.37","40.37","9.25","6.98","57.01","0","1.02","0.00","0.00","85.34","23.29","27.29","46.04","15.93","14.13","52.99","0","0","-","0.00","100.00","7.90","92.86","1.008","0"
"2021-01-14 - Capitals 6, Sabres 4","Buffalo Sabres","Limited ReportFull Report","51.316666666667","30.11","36.71","45.06","22.78","29.68","43.43","16.79","22.82","42.38","1.87","4.26","30.50","1.11","1.03","51.82","14.08","14.39","49.45","5.97","3.3","64.41","5.07","2.17","70.05","0.91","2.14","29.78","17.91","1.24","7.95","11.24","41.41","3.75","6.44","36.82","0","1.04","0.00","0.00","83.85","16.25","21.06","43.56","7.75","14.26","35.21","0.88","1.12","44.18","11.40","92.17","11.13","81.35","0.925","0"
"2021-01-14 - Ducks 2, Golden Knights 5","Vegas Golden Knights","Limited ReportFull Report","53.483333333333","42.73","43.97","49.28","31.16","26.16","54.36","26.3","18","59.37","3.86","2.03","65.61","1.95","1.44","57.61","23.74","18.35","56.39","12.54","6.11","67.23","11.68","5.06","69.76","3.86","2.05","65.37","33.06","59.61","11.29","12.13","48.21","6.02","7.15","45.70","0","0","-","0.00","100.00","16.18","15.73","50.70","8.36","3.82","68.65","0","0","-","0.00","100.00","14.70","88.74","1.034","0"
